username,tweet_url,full_text
katadataoto,https://x.com/katadataoto/status/1795033744707088419,Salah satu penyebab yang membuat penjualan mobil listrik Hyundai lesu karena regulasi yang tak menentu https://t.co/05OSedCut3
heru_mie,https://x.com/heru_mie/status/1786726767845351746,@AzzamIzzulhaq Kang ustadz kenal teu sareng pak mukiman?
roviko_rq,https://x.com/roviko_rq/status/1794161628050854216,@SelebtwitFess Cuma ada 1 SPKLU di Lombok ya? +Pastikan mobil yg dibeli ada dealer dan service centernya. +Colokannya sesuai dengan yg ada di SPKLU +Perkiraan jarak tempuh penggunaan harian dibandingkan jarak tempuh mobil https://t.co/lNmMBHnQ0A
OnlyOnesia,https://x.com/OnlyOnesia/status/1790192918827028982,@lhayesno (Khas kitorang): Belum beli juga udah mikir gimana jualnya nanti
admn_yami,https://x.com/admn_yami/status/1749072538188255417,Greenflation itu sederhananya kaya gini kau mau bikin mobil listrik biar lebih ramah lingkungan tapi harga barangnya naik karena kebutuhan ramah lingkunagn itu. contohnya karena harga nikel naik jadi harga mobil listriknya naik dan orang ga mampu beli mobil listrik
_cawe_cawe_,https://x.com/_cawe_cawe_/status/1787016851492688260,@AzzamIzzulhaq Lha presidennya semuanya bolak balik dikibulin. https://t.co/SWb7LAYeJN
officialinews_,https://x.com/officialinews_/status/1792621832723640691,#Bisnis Luhut Sebut Elon Musk Bakal Pertimbangkan Bangun Pabrik Baterai Mobil Listrik di RI https://t.co/yH8taPJPOF
alan_falah,https://x.com/alan_falah/status/1789169215263653897,@NOTASLIMBOY Baterai nya umur lima tahunan mesti ganti dan harganya sepertiga harga mobil bahkan bisa lebih..
OssasUzumaki,https://x.com/OssasUzumaki/status/1773947444277178665,@SelebtwitMobil Mobil2 double cabin juga termasuk?
HengkyCh1,https://x.com/HengkyCh1/status/1760976502647332966,@sociotalker @DrEvaChaniago Hilirisasi Nikel = Pabrik Sendok dan Garpu? China itu makan pakai sumpit! LBP lo kerjasama dgn China apa ma tukang somay sih??.
VIVAcoid,https://x.com/VIVAcoid/status/1793223814526259629,Harga Resmi Mobil Listrik Neta V-II Hampir Rp300 Juta https://t.co/mEtxkMvkcd #Ramadan https://t.co/YYDoNVSK08
writerfreax,https://x.com/writerfreax/status/1796237900402905290,@kumparan Diobral aja kita kua beli esemka
detikoto,https://x.com/detikoto/status/1786330842555678869,Bagaimana Jika Baterai Mobil Listrik BYD Lemah? Ini Penjelasannya https://t.co/oCGn9qP8ns
IndoCapEnaak,https://x.com/IndoCapEnaak/status/1753296129985487203,@ainunrozi @tanyakanrl Ada kok subsidi transportasi umum. Coba aja anda Googling. Tahun ini jumlahnya 12 triliun.
GoldHarsa,https://x.com/GoldHarsa/status/1788427822165561825,@MuhadklyAcho apa itu 3rb langkah https://t.co/xyYx74Msvh
f___yp,https://x.com/f___yp/status/1788413698857689327,@MuhadklyAcho Rata-rata di hari kerja jalan kaki segini https://t.co/yPc3RWipej
MD_IN,https://x.com/MD_IN/status/1790332731945369675,@lhayesno Tadinya mau nabung beli mobil EV. Scr mobil kelas entry level dah masuk. Pas tahu harga baterai bisa setengah harga mobil auto mundur. Menengah bawah beli pastinya nyicil nyicil 5 tahun lunas. Harga second gelap. Beli 2nd ngeri kecuali dihargain 2jt 
detikcom,https://x.com/detikcom/status/1754717049199501372,Peluncuran Chery Omoda E5 berstatus sebagai world premiere atau pertama di dunia. Harganya dibawah Rp 500 juta! https://t.co/Zvzb5xZKPL
pri_rakhman,https://x.com/pri_rakhman/status/1789195277309714819,@NOTASLIMBOY Masa depan itu Mobil H2.
Yq8pY,https://x.com/Yq8pY/status/1794035366833561888,@SelebtwitFess SPKLU udh banyak belum di #Lombok kak? Brand maintenance apakah udh available disana? Kalu belum ada mending do not play-play kak.
katadataoto,https://x.com/katadataoto/status/1791008455953961232,Mengakomodir kebutuhan konsumen terkhusus BinguoEV dan Cloud EV Wuling akan bangun 100 SPKLU tipe GBT https://t.co/ijIonIrizS
SelebtwitMobil,https://x.com/SelebtwitMobil/status/1789218292491813202,@NOTASLIMBOY Komunitas gondok --&gt; @komunitaswevi
tvOneNews,https://x.com/tvOneNews/status/1773456347356663893,Menperin Agus Gumiwang Buka-bukaan soal Harga Mobil Listrik Bisa Diturunkan hingga 30 Persen Begini Alasannya: Menteri Perindustrian (Menperin) Agus Gumiwang Kartasasmita menilai harga mobil listrik bisa diturunkan hingga 30 persen jika Indonesia mampu https://t.co/689T7pdQJ1 https://t.co/xZowLIskbS
tempodotco,https://x.com/tempodotco/status/1795321400376660158,Mobil Listrik Aion Y Plus 7-Seater akan Datang Ke Indonesia https://t.co/ZBmzwQMaUX #GoOto
imawaticeria,https://x.com/imawaticeria/status/1795624004835049580,@Udang_Rebon3 @AfifFuadS Kalo protes itu yg jadi menteri agama ketua kpu komisaris bisa pada di copot n ijin tambang ga jadi dikasih
JantanBinal,https://x.com/JantanBinal/status/1773930230480253416,@SelebtwitMobil Gue ga lagi² duduk di baris ketiga Pajero Sport/Fortuner
SelebtwitMobil,https://x.com/SelebtwitMobil/status/1782223930025279564,Gila SSD dah gak ada harga dirinya lagi 10 taon lalu tuh SSD ginian tuh harganya nyaris menyamai UMR bahkan melebihi UMP bbrp daerah Apakah EV (mobil/motor listrik) akan bernasib sama?
jalli_jail_,https://x.com/jalli_jail_/status/1790267192782758256,@lhayesno andai biaya batere dikomparasi dgn pemakain BBM per bulan? masih murahan mana?
extreem_007,https://x.com/extreem_007/status/1782239337863918046,@SelebtwitMobil Bgitulah dengan kemajuan teknologi
Harian_Jogja,https://x.com/Harian_Jogja/status/1749624141857300719,Mobil Listrik Rakitan Lokal Chery Omoda E5 Bakal Gunakan Baterai LFP https://t.co/tT4Pk8DZqD #beritajogja #jogja #jogjaistimewa https://t.co/aFTdennzjq
andrie_pratama,https://x.com/andrie_pratama/status/1785348809498984813,@ridwanhr Mobil Neta V ini di foto biasa aja kayak culun2 manis gitu. Tapi kalo liat aslinya di jalan ngga kok gede enak jg di lihat jg walaupun jarang2 liat di jalanan Jakarta tp ada aja seliweran. . Dibanding wuling air ev ya msh mnding ini bb angkut barang bawaan dan bawaan banyak.
GuptaGautama,https://x.com/GuptaGautama/status/1752556436436173304,@wisnusuryapr Niru Amerika kok yang buruknya.
wkurniawan609,https://x.com/wkurniawan609/status/1795978723138650569,@kumparan Marketing jahat.
pedagang_krupuk,https://x.com/pedagang_krupuk/status/1790358580136460344,@lhayesno Yang perawatan hemat itu kendaraan kayuh. Hanya butuh pijet dan jamu saja
Arilay_x,https://x.com/Arilay_x/status/1753821581321908227,Sedangkan menterinya jadi Sales (subsidi) mobil listrik
sabrizapr,https://x.com/sabrizapr/status/1790058590327177500,@investorgabut Walau semakin lama semakin murah ttp berpikir berkali2 lipat beli mobil listrikkkk
alblankon,https://x.com/alblankon/status/1795724855465398747,@muhararpajidi @innovacommunity Emg 1jam bisa full? Bukannya lebih ya
kekanean,https://x.com/kekanean/status/1789117027464216948,@NOTASLIMBOY H miring juga gondok tuh sama mobil listrik Tiongkok
Irhamln,https://x.com/Irhamln/status/1752674069944901871,@wisnusuryapr yg jualan yg bikin aturan sih
inor59,https://x.com/inor59/status/1786895709717012668,@AzzamIzzulhaq Kita* itu bukan lebih senang jd konsumen tp kita* lebih cinta komisi .. *kita = pejabat
SelebtwitMobil,https://x.com/SelebtwitMobil/status/1780889842626511222,Kalo lu beli EV (mobil listrik motor listrik) dan concern utama lu adalah kesehatan baterai terutama sengaja dijaga biar tinggi biar harga jual ga jatuh berarti emang lu masih miskin aja
Boeng_Galih,https://x.com/Boeng_Galih/status/1787076899375923555,sampai hari ini belum prnah berpapasan dengan Alva Cervo dijalanan Banjar hmmm...anomali nih .. apa gara² SPKLU nya kah msh jarang padahal kan bisa aja di charge dirumah
MazGondhez,https://x.com/MazGondhez/status/1760674210282950955,@sociotalker Bagi yang bingung maksud nya Prof silahkan pakai keyword 'stainless steel' Dan.. Para pejuang bangsa mungkin akan menangis kalau untuk sendok garpu pun bangsa ini masih bergantung dengan negara lain Food security itu luas bukan sekedar melulu kecukupan quantity nya
abahgiza,https://x.com/abahgiza/status/1786543189727629338,@AzzamIzzulhaq segala kredit kpd pak habibie itu sudah prstasi yg luar biasa indonesia cuma bikin airframe N-250 msin pnggerak buatan US. mohon di ingat nama awal CN-250 C nya kredit bagi prusahaan pnerbangan CASA Spanyol. bikin pesawat sendiri itu mitos!
f_yathir,https://x.com/f_yathir/status/1795986539429679297,@kumparan Berarti konsumennya pinter. Trend mobil listrik nggak akan lama. Mirip2 mobil BBG yg dulu heboh juga sekarang sudah nggak ada.
kasyfillah19,https://x.com/kasyfillah19/status/1790265120419205424,@lhayesno Kalo gw sih masih menikmati mobil bbm karena toh pada akhirnya kita harus ganti listrik kan? Jadi buat gw ngapain buru2 gw mau nikmatin mobil BBM dulu.
eskrimencair,https://x.com/eskrimencair/status/1795725028878909686,@muhararpajidi @innovacommunity Ya kali harga batrenya udah kayak seharga mobil
